V_ACCT_LGHT,C_IP,C_VMP,V_N_VM_MESS,V_T_DAY_CHG,V_T_EVE_CALLS,V_T_EVE_CHG,V_T_NIG_CALLS,V_T_NIG_CHG,V_T_INT_CALLS,V_T_INT_CHG,V_CS_CALLS,TARGET,ID
136,No,Yes,31,24.33,65,20.11,120,10.25,5,3.08,2,0,507
143,No,Yes,24,31.72,116,18.87,138,10.57,5,3.13,1,0,509
118,No,Yes,26,29.04,125,16.96,98,7.64,5,2.59,5,1,510
193,No,Yes,17,21.08,81,17.25,129,9.23,3,3.32,1,0,511
73,No,No,0,33.71,101,23.74,87,6.58,8,4,3,0,512
62,No,No,0,29.38,97,17.41,90,10.84,8,2.46,2,0,513
30,No,Yes,30,36.96,86,18.17,104,10.22,3,1.78,0,0,514
96,No,No,0,16.69,88,26.11,120,8.21,1,2.05,2,0,517
52,No,No,0,36.5,138,13.48,114,5.55,4,2.54,2,0,518
87,No,No,0,28.59,100,19.1,99,7.63,3,3.48,1,0,519
41,No,No,0,34.49,104,13.07,92,5.11,3,2.43,3,0,520
112,No,No,0,44.44,102,13.13,90,5.89,2,3.13,1,0,521
88,No,No,0,12.46,82,13.72,76,10.78,3,2.21,4,1,522
30,No,No,0,38.66,100,15.51,134,8.63,3,3.38,0,0,527
46,No,No,0,21.22,143,13.37,72,8.97,4,2.32,2,0,529
47,No,Yes,37,27.8,102,17.26,87,10.44,4,2.11,2,0,531
77,No,No,0,27.71,89,18.62,66,10.5,3,1.81,2,0,532
98,No,Yes,38,36.33,104,21.51,73,9.35,5,2.89,2,0,533
128,No,Yes,40,29.1,109,12.38,93,8.86,6,3.78,1,0,537
190,No,Yes,22,28.31,92,15.56,102,5.44,3,2.3,0,0,538
165,No,No,0,36.82,104,16.22,123,10.11,8,3.35,0,0,539
59,No,No,0,18.33,125,18.41,92,9.79,3,2.67,2,0,540
47,No,Yes,28,24.02,108,14.28,84,5.11,2,2.11,1,0,541
26,No,No,0,39.87,129,18.4,94,8.62,6,0.95,3,0,544
95,No,Yes,27,22.02,90,21.16,115,12.06,3,3.21,1,0,546
31,No,Yes,31,17.02,97,20.94,131,11.48,3,1.59,0,0,549
121,No,Yes,31,40.31,117,17.48,85,8.85,5,2.73,4,0,550
111,No,No,0,29.38,108,15.56,104,7.15,3,2.13,4,1,551
157,No,No,0,38.17,99,17.06,118,5.25,2,3.11,2,0,552
44,No,No,0,48.98,92,21.93,90,8.66,4,2.75,3,1,553
65,No,No,0,25.28,94,22.02,107,6.73,6,3.43,2,0,555
74,No,Yes,25,33.08,103,10.19,75,7.9,2,3.54,2,0,556
123,No,No,0,27.12,92,25.82,120,10.21,4,3.24,0,0,557
58,No,Yes,20,33.07,89,18.16,92,10.65,2,2.57,1,0,558
74,No,No,0,29.6,94,21.34,123,11.59,5,2.24,2,1,559
125,No,No,0,22.41,100,11.62,119,13.87,6,2.08,2,0,560
80,No,No,0,27.3,109,20.15,88,11.03,1,2.89,1,0,561
53,No,Yes,18,24.96,84,26.35,130,8.04,7,1.94,0,0,562
99,No,Yes,28,34.12,116,22.46,102,7.77,5,2.46,1,0,563
99,No,No,0,24.75,106,8.36,83,10.39,5,2.94,1,0,564
66,No,Yes,29,39,84,21.88,119,10.42,1,2.16,2,0,565
97,No,No,0,35.87,100,16.07,102,5.54,4,1.27,3,0,566
75,No,Yes,37,20.66,110,23.07,97,11.19,5,3.05,2,0,567
108,No,No,0,49.81,101,13.65,87,6.48,6,2.7,2,0,569
51,No,No,0,30.86,87,16.74,119,8.42,2,2.78,1,0,571
186,No,Yes,26,12.63,116,15.07,90,13.33,3,3.92,2,0,572
64,No,Yes,31,38.86,109,21.12,124,7.52,1,2.43,3,0,574
44,No,No,0,38.78,79,23.5,77,12.59,5,2.67,2,1,575
92,No,No,0,34.32,119,19.28,80,9.79,6,3.7,3,0,577
110,No,No,0,25.47,93,15.3,119,6.3,4,3.16,2,0,578
90,No,Yes,30,31.25,95,19.52,124,6.48,3,2.08,1,0,579
171,No,Yes,25,37.94,118,15.57,90,6.79,3,2.75,3,0,582
104,No,No,0,27.91,90,13.21,117,7.6,8,2.89,1,0,583
165,No,No,0,25.59,93,16.41,93,14.02,2,2.78,1,0,584
104,No,No,0,39.81,92,24.91,79,8.28,6,2.65,0,1,585
110,No,No,0,9.4,124,14,108,9.03,5,2.75,1,0,586
101,No,No,0,15.25,79,22.11,93,7.65,11,3.65,5,1,589
117,No,Yes,14,13.63,103,18.62,102,5.52,2,2.32,1,0,590
109,No,No,0,37.21,87,25.49,110,7.14,4,3.05,2,0,591
82,No,No,0,21.37,137,17.65,103,8.24,2,3.48,1,0,592
92,No,No,0,29.97,125,7.94,107,9.32,1,2.59,2,0,593
82,No,Yes,29,35.22,137,21.6,92,7.62,5,2.57,2,0,594
90,No,No,0,34.97,83,13.76,104,12.14,6,3.38,2,0,595
124,No,No,0,26.78,79,11.11,98,8.7,4,2.59,3,0,597
39,No,No,0,27.27,103,8.72,106,10.59,5,2.46,2,0,598
84,No,No,0,27.03,128,14.27,101,7.54,5,3.32,1,0,599
102,No,No,0,17.44,77,20.91,140,7.67,4,2.46,2,0,601
143,No,No,0,34.48,104,14.09,71,6.48,4,1.24,1,0,603
53,No,No,0,9.78,131,22.57,128,10.99,6,3.13,3,0,604
30,No,No,0,28.88,118,19.14,93,7.64,7,3.08,1,0,605
129,No,No,0,23.72,105,24.59,97,5.82,8,3.54,0,0,607
63,No,Yes,29,24.19,56,10.09,91,10.8,8,1.78,1,0,608
28,No,No,0,31.93,86,21.13,124,9.4,5,2.86,0,0,609
111,No,No,0,24.85,83,22.23,116,7.34,3,2.35,3,0,610
91,No,No,0,39.41,106,12.8,129,12.11,7,3.13,3,0,611
90,No,No,0,32.93,79,13.11,60,13.46,3,3.43,1,0,612
151,No,No,0,26.59,118,19.84,141,8.81,6,2.08,4,0,613
41,No,Yes,37,40.77,115,18.86,100,8.51,1,1.97,2,0,615
48,No,Yes,43,29.24,64,17.02,96,10.49,5,2.16,1,0,616
79,No,No,0,22.13,121,24.73,140,8.77,6,3.78,3,0,618
153,No,No,0,33.22,96,13.14,97,6.43,6,3.13,1,0,619
163,No,No,0,32.52,87,16.48,121,12.08,4,3.46,1,0,621
126,No,No,0,20.81,111,12.22,106,7.07,3,3.11,1,0,622
105,No,Yes,33,35.63,140,12.49,131,5.44,3,2.86,2,0,623
172,No,No,0,36.67,84,12.44,83,11.91,1,1.92,3,0,624
126,No,No,0,27.44,125,18.75,78,11.21,2,1.38,0,0,625
97,No,No,0,24.51,137,19.27,72,6.51,4,3.73,3,0,626
87,No,No,0,43.55,102,13.66,80,11.22,2,2,4,0,628
97,No,No,0,19.16,109,18.5,76,6.84,5,1.76,1,0,629
76,No,No,0,50.92,92,19.27,134,9.48,4,3.7,0,1,630
140,No,No,0,33.12,99,14.53,93,10.13,4,3.75,0,0,631
169,No,No,0,17.14,69,19.55,95,8.71,2,2.57,0,0,632
68,No,Yes,22,14.03,94,24.64,114,8.1,4,1.3,3,0,633
122,No,Yes,34,24.89,103,7.62,91,9.9,4,4.21,2,0,634
36,No,No,0,30.24,87,19.09,102,13.78,6,2.92,2,0,635
120,No,Yes,27,26.1,73,16.49,94,11.54,7,2.75,5,0,636
64,No,Yes,19,30.62,92,10.84,118,10.68,3,2.03,0,0,638
13,No,Yes,31,45.1,95,12.55,117,11.67,1,3.48,1,0,639
106,No,No,0,21.86,114,11.39,113,9.48,2,3.08,0,0,640
88,No,No,0,27.46,108,14.75,95,9.28,4,2.13,2,0,641
74,No,No,0,28.1,106,16.87,102,9.38,3,2.65,1,0,642
83,No,No,0,33.15,83,17.89,92,8.13,13,2.97,0,0,643
49,No,No,0,36.35,93,22.53,128,10.79,7,4.21,0,0,644
111,No,Yes,24,34.94,99,18.64,95,9.72,4,3.78,1,0,645
50,No,Yes,22,42.99,99,15.12,146,7.13,4,2.3,3,0,646
88,No,No,0,32.64,127,10.85,125,7,5,2.03,1,0,648
131,No,Yes,39,11.75,136,8.61,94,4.72,4,2.46,0,0,649
140,No,No,0,40.04,130,21.86,111,4.64,4,3.11,2,0,651
54,No,Yes,39,35.17,72,10.86,120,8.96,1,2.48,3,0,653
87,No,Yes,22,44.85,115,8.79,109,9.36,3,2.3,3,0,654
96,No,Yes,31,31.18,106,16.62,93,8.1,5,2.84,1,0,655
79,No,No,0,26.79,92,16.5,86,10.42,10,2.54,5,1,656
130,No,No,0,41.23,114,8.74,89,6.41,2,2.51,2,0,658
34,No,No,0,25.67,101,11.17,86,8.4,7,2.67,0,0,659
139,No,No,0,23.48,100,13.98,63,6.07,2,2.24,1,0,660
109,No,No,0,45,120,25.93,86,8.88,9,2.57,1,1,661
65,No,Yes,31,47.99,89,12.92,93,10.15,4,3.24,1,0,662
63,No,No,0,35.9,93,20.2,58,11.66,2,3.32,0,0,663
147,No,No,0,34.9,128,14.17,84,10.83,4,2.11,1,0,665
112,No,Yes,22,30.91,123,19.39,141,11.82,4,2.48,2,0,666
120,No,No,0,42.84,106,12.77,96,6.83,1,2.59,2,0,667
27,No,No,0,32.95,104,10.11,124,6.12,3,2.48,0,0,668
171,No,No,0,39.3,74,16.04,124,9.31,1,3.32,1,0,669
101,No,Yes,33,34.02,122,16.06,90,9.23,4,4.19,0,0,670
32,No,Yes,26,45.34,107,19.75,98,9.58,4,4.4,1,0,671
151,No,No,0,29.8,87,12.27,88,7.21,5,3.19,0,0,673
60,No,No,0,21.27,62,21.15,79,9.51,3,3.02,3,0,674
43,No,No,0,41.12,121,11,104,11.92,3,1.59,1,0,676
42,No,No,0,41,114,9.9,91,6.85,4,2.86,0,0,677
84,No,No,0,36.91,68,20.06,120,5.32,4,2.54,1,0,678
65,No,No,0,33.22,109,15.4,105,8.03,4,2.4,0,0,679
116,No,No,0,32.22,118,16.13,83,9.26,2,3.54,1,0,681
107,No,No,0,20.93,82,13.46,82,11.52,5,2.51,0,0,682
189,No,Yes,38,43.64,120,12.79,87,5.54,3,3.08,3,0,683
123,No,No,0,27.05,119,20.54,120,9.11,1,1.76,1,0,684
110,No,No,0,17.02,93,19.83,57,9.2,8,3,3,0,685
176,No,No,0,37.94,131,18.22,80,6.95,2,2.73,3,0,687
108,No,No,0,31.86,126,16.99,107,9.72,8,3.4,1,0,688
71,No,No,0,47.18,121,11.2,101,5.71,2,2.21,1,0,690
88,No,No,0,32.27,101,16.77,111,10.55,3,4.02,2,0,691
137,No,No,0,25.02,91,16.39,105,7.77,4,2.75,1,0,692
92,No,Yes,29,26.42,104,16.02,118,11.47,4,2.16,3,0,694
165,No,No,0,26.21,108,22.83,99,8.5,4,2.94,6,0,695
96,No,No,0,16.59,118,8.97,105,9.91,9,3.13,1,0,696
156,No,No,0,30.4,97,15.16,77,7.61,3,2.03,1,0,697
63,No,No,0,25.38,75,23.26,72,9.3,4,2.46,0,0,698
37,No,No,0,35.02,88,15.81,86,13.82,11,2.27,0,0,699
98,No,No,0,36.86,114,16.22,79,8.44,9,2.97,0,0,700
121,No,No,0,17.56,82,10.97,113,7.52,3,2.89,0,0,701
94,No,No,0,23.7,92,13.52,129,5.77,3,2.08,0,0,702
99,No,No,0,32.5,102,13.93,114,10.96,3,3.81,1,0,703
163,No,Yes,23,27.2,64,16.1,118,10.35,7,2.81,1,0,704
161,No,No,0,37.69,82,16.41,113,8.73,4,1.76,3,0,705
99,No,No,0,10.69,64,19.64,121,7.6,5,2.3,1,0,706
108,No,No,0,36.65,119,16.6,65,8.75,5,0.97,1,0,707
84,No,Yes,42,28.1,118,19,72,11.74,7,2.05,3,0,708
139,No,No,0,34.54,99,12.96,76,8.9,3,2.62,2,0,710
69,No,No,0,33.2,108,18.42,119,11.7,4,3.38,3,0,711
129,No,No,0,24.43,98,25.31,86,9.57,8,3.08,4,0,712
158,No,No,0,37.88,128,17.26,106,9.48,2,1.86,2,0,714
168,No,Yes,22,29.9,105,17.99,81,7.85,5,1.97,2,0,715
67,No,No,0,35.82,86,18.63,83,8.09,6,1.94,1,0,718
127,No,No,0,30.99,110,14.44,116,8.28,3,2.51,1,0,719
78,No,No,0,32.35,89,16.53,109,11.54,5,3.16,2,0,720
100,No,Yes,38,30.11,108,13.91,72,10.92,2,2,0,0,721
103,No,Yes,36,14.82,110,14.39,80,7.5,5,2.94,6,1,722
113,No,No,0,36.65,127,16.44,115,4.74,3,3.65,1,0,723
129,No,Yes,36,32.78,83,15.05,118,9.74,5,4.43,1,0,725
57,No,No,0,25.38,110,17.02,101,10.43,3,3.21,2,0,726
82,No,No,0,24.43,99,14.51,95,12.95,5,2.11,1,0,727
64,No,No,0,38.22,101,16.15,110,9.96,2,2.48,1,0,728
86,No,Yes,39,44.4,101,18.21,101,6.97,5,3.43,2,0,729
151,No,Yes,26,33.41,111,14.94,124,9.98,5,3.62,0,0,730
90,No,No,0,35.22,104,24.86,103,10.18,1,2.16,2,0,732
48,No,No,0,51.07,103,11.32,94,8.88,5,1.94,2,0,733
85,No,Yes,37,39.03,90,11.25,76,9.54,8,2.57,2,0,734
68,No,No,0,27.56,86,13.18,87,8.54,9,2.97,5,1,737
68,No,No,0,27.12,93,20.47,76,9.46,3,3.08,1,0,739
101,No,No,0,32.42,103,17.73,111,9.17,8,2.38,1,0,740
116,No,Yes,17,32.88,131,20.45,98,11.16,3,3.08,5,0,743
158,No,No,0,34.34,86,13.9,84,8.79,6,2.81,1,0,744
78,No,No,0,32.59,88,20.52,86,9.16,5,2.46,1,0,745
119,No,Yes,26,27.42,110,21.28,92,6.41,8,1.78,1,0,746
120,No,No,0,25.6,128,10.12,123,10.48,2,1.73,1,0,747
155,No,No,0,31.38,117,16.66,122,10.19,1,2.11,1,0,748
106,No,No,0,37.52,95,22.97,113,5.47,5,2.35,1,0,749
146,No,Yes,32,26.18,91,15.77,107,6.67,4,2.21,3,0,751
101,No,Yes,29,20.59,100,15.84,75,10.88,6,2.73,0,0,752
22,No,Yes,23,30.96,59,13.99,102,5.8,4,3.43,3,0,753
90,No,No,0,18.63,108,11.7,121,7.19,5,2.97,2,0,754
41,No,No,0,35.68,105,10.36,104,11.42,4,2.59,1,0,755
69,No,No,0,28.48,92,20.58,103,4.55,4,3.08,2,0,756
112,No,No,0,19.69,111,20.68,78,8.31,5,3.54,1,0,758
108,No,Yes,30,47.02,113,18.71,95,8.01,6,2.65,2,0,759
128,No,No,0,31.84,95,23.02,68,9.29,5,2.73,1,0,761
27,No,No,0,34.2,100,19.31,91,6.56,3,2.27,2,0,762
33,No,Yes,35,31.76,69,22.19,103,14.3,5,4.05,0,0,764
120,No,Yes,31,26.1,96,18.62,76,10.68,4,3.08,0,0,765
113,No,No,0,31.89,118,17.7,101,7.15,6,2.35,2,0,766
74,No,No,0,39.25,78,18.96,101,7.1,2,2.62,3,0,769
106,No,No,0,31.81,117,21.27,81,6.52,3,2.97,1,0,770
179,No,No,0,29.02,108,16.24,107,9.66,4,3.59,1,0,771
77,No,No,0,32.22,95,17.6,91,9.63,7,2.48,0,0,773
80,No,No,0,27.39,81,16.9,116,10.28,4,2.86,1,0,775
106,No,No,0,28.8,71,16.76,79,9.1,4,2.89,1,0,776
61,No,Yes,20,43.25,96,13.74,91,11.31,4,2.84,0,0,777
115,No,Yes,26,28.99,77,18.46,71,10.16,5,3.67,6,0,779
35,No,Yes,27,41.09,101,12.07,68,13,4,2.54,1,0,783
107,No,Yes,22,47.79,130,12.21,128,10.77,9,3.02,1,0,785
69,No,No,0,38.79,80,22.41,60,6.42,5,2.89,3,0,786
85,No,No,0,35.67,94,16.53,85,9.02,3,3.05,0,0,787
24,No,No,0,45.15,102,17.75,105,8.21,6,3,2,1,788
90,No,No,0,36.53,117,10.01,78,6.02,2,3.19,2,0,789
137,No,No,0,18.79,111,18.97,64,7.63,3,2.84,3,0,790
38,No,No,0,23.43,76,24.34,77,7.52,3,3.81,2,0,792
45,No,No,0,19.18,120,18.6,106,10.81,3,2.43,2,0,794
73,No,No,0,31.84,90,20.37,108,7.54,2,4.08,1,0,795
92,No,No,0,33.49,105,22.89,105,7.15,4,2.92,1,0,796
113,No,Yes,32,30.67,124,11,124,7.51,2,2.27,1,0,797
135,No,Yes,22,33.51,95,22.05,135,6.06,5,3.94,2,0,799
100,No,Yes,26,26.13,146,11.71,104,9.61,5,4.29,1,0,800
96,No,Yes,27,44.42,101,18.78,97,8.07,2,3.05,1,0,801
108,No,No,0,41.85,134,17.2,95,8.1,5,2.54,1,0,802
84,No,No,0,32.47,119,27.1,79,11.13,4,1.76,0,0,803
134,No,No,0,35.41,89,21.56,86,13.1,3,3.4,1,0,804
72,No,No,0,43.01,78,18.64,89,9.49,4,2.65,0,0,805
83,No,No,0,34.39,111,17.13,82,4.58,4,1.84,0,0,806
137,No,No,0,29.65,98,13.29,121,6.14,5,2.75,0,0,807
56,No,Yes,30,21.61,116,14.63,111,8.76,3,3.27,1,0,808
171,No,Yes,17,31.77,138,20.4,64,9.04,3,1.57,1,0,810
123,No,No,0,32.98,114,20.57,108,6.58,4,3.27,1,0,811
58,No,No,0,39.92,131,9.08,122,8.03,6,2.67,0,0,812
156,No,No,0,21.03,80,8.76,82,8.52,4,3.54,1,0,813
166,No,No,0,29.56,83,23.49,113,8.59,5,4.13,0,0,814
75,No,Yes,41,22.25,110,17.29,68,7.73,4,3.35,1,0,815
83,No,No,0,38.74,115,17.64,100,9.53,5,3.27,1,0,817
153,No,No,0,31.5,73,17.68,124,9.27,3,4.08,1,0,819
150,No,No,0,24.87,95,17.23,103,10.56,3,3.54,1,0,820
134,No,No,0,30.26,64,13.07,105,10.65,4,3.16,1,0,823
77,No,Yes,24,25.4,72,10.53,84,7.84,6,2.73,1,0,824
147,No,No,0,35.6,78,11.26,123,6.72,3,3.05,2,0,825
74,No,No,0,29.26,99,17.99,105,8.2,6,3.13,1,0,826
143,No,No,0,20.25,136,24.45,100,10.04,4,3.29,0,0,828
120,No,No,0,33.8,73,19.56,81,5.39,3,2.67,2,0,830
88,No,No,0,34.37,93,18.43,99,10.77,2,3.19,2,0,832
100,No,No,0,36.75,84,18.33,127,6.23,3,2.75,0,0,834
104,No,No,0,12.99,74,9.83,94,10.18,3,2.54,3,0,835
81,No,Yes,31,35.77,97,19.17,120,7.59,4,2.62,0,0,837
107,No,Yes,28,34.31,128,25.92,133,10.15,8,3.21,1,0,839
88,No,Yes,17,37.32,94,18.88,92,8.47,5,4.35,1,0,840
111,No,No,0,16.88,136,22.99,94,10.14,6,2.43,3,0,841
77,No,No,0,40.66,115,12.75,81,7.24,2,2.78,5,0,842
102,No,No,0,38.2,112,11,109,7.54,6,4.27,1,0,844
146,No,Yes,19,30.02,66,13.83,98,9.7,6,3.94,1,0,845
96,No,No,0,30.7,114,16.23,125,13.3,4,2.78,1,1,847
70,No,Yes,31,21.4,102,16.69,75,11.37,4,2.78,1,0,848
149,No,No,0,40.39,107,16.35,111,9.33,9,2.46,0,0,849
129,No,No,0,33.73,106,22.5,101,5.01,2,2.48,2,0,850
149,No,No,0,37.01,74,23.25,99,10.21,3,2.59,3,0,853
70,No,No,0,22.9,90,20.05,113,11.71,6,2.05,3,0,854
120,No,Yes,24,36.16,103,21.89,119,10.25,13,2.62,2,0,855
66,No,No,0,43.57,106,15.32,135,8.43,7,1.67,2,0,856
104,No,No,0,31.21,98,10.26,112,9.68,2,3.43,1,0,857
160,No,No,0,29.95,115,16.66,95,11.88,4,2.48,1,0,858
129,No,Yes,37,34.85,103,14.06,81,8.32,8,3.16,1,0,859
93,No,No,0,45.54,74,18.96,90,11.82,3,3.05,3,1,860
169,No,No,0,30.46,130,14.89,92,10.29,6,2.67,2,0,861
58,No,No,0,25.4,105,16.7,108,9.43,3,4.02,1,0,862
45,No,No,0,35.29,94,12.98,125,9.8,13,3.35,1,0,864
155,No,No,0,28.12,103,15.61,108,3.61,4,2.4,3,0,865
52,No,No,0,35.67,82,14.56,119,6.96,9,2.67,4,0,866
119,No,Yes,27,37.42,133,22.8,80,6.59,3,3,0,0,867
86,No,No,0,24.02,95,13.12,91,9.48,5,2.21,1,0,868
42,No,No,0,33.41,123,20.51,105,6.44,7,1.08,0,0,869
98,No,No,0,46.14,102,16.18,118,12.81,6,3,4,1,872
149,No,Yes,43,35.14,122,14.84,80,10.87,3,2.94,1,0,873
160,No,No,0,28.36,117,20.06,77,13.84,1,2.51,1,0,874
103,No,No,0,34.83,102,11.49,106,9.37,3,2.81,5,0,875
132,No,Yes,15,26.28,106,20.88,90,6.69,4,2.46,1,0,876
122,No,Yes,33,46.04,110,18.73,104,7.65,8,3.19,4,0,880
32,No,No,0,29.1,102,15.78,64,9.15,7,2.75,1,0,881
86,No,No,0,21.1,120,17.22,119,13.03,8,1.81,3,0,882
130,No,No,0,27.68,111,24.68,140,5.17,3,1.94,1,0,883
73,No,No,0,43.32,80,12.19,102,6.93,7,4.05,2,0,885
66,No,Yes,26,43.33,135,20.67,95,8.59,3,1.46,2,0,886
103,No,Yes,31,18.31,104,16.06,98,8.83,3,2.4,0,0,887
128,No,No,0,27,91,22.51,77,12.15,7,2.05,1,0,888
104,No,No,0,31.09,85,20.37,104,10.34,4,1.49,2,0,889
124,No,No,0,30.33,134,19.86,91,8.07,2,3.24,0,0,891
87,No,No,0,18.85,115,13.47,131,9.34,5,1.67,1,0,892
109,No,Yes,27,28.37,92,18.8,97,8.88,4,3.32,1,1,893
97,No,No,0,20.54,101,14.43,63,8.73,3,3.21,4,1,895
106,No,No,0,28.1,101,17.85,93,8.42,3,2.3,2,0,896
125,No,No,0,21.54,131,13.22,112,9.28,7,3.89,2,0,897
108,No,Yes,35,36.7,107,17.05,107,8.79,7,4.19,0,0,898
125,No,No,0,23.82,126,17.82,77,11.88,2,2.16,1,0,899
89,No,Yes,32,35.68,104,21.23,92,10.09,7,2.35,1,0,900
73,No,No,0,36.41,78,16.73,112,7.11,8,1.59,0,0,904
61,No,No,0,44.2,127,17.89,70,10.56,3,2.43,1,1,905
73,No,No,0,36.21,104,16.05,89,6.13,3,3.65,0,0,907
23,No,No,0,32.33,108,14.14,73,9.89,4,4.05,6,0,909
127,No,Yes,25,13.97,109,13.88,104,11.92,6,1.38,0,0,910
42,No,Yes,32,27.85,123,15.11,106,8.57,5,2.19,0,0,911
118,No,No,0,45.53,121,26.89,91,9.39,11,3.89,5,1,912
45,No,No,0,27.17,86,10.23,93,7.34,3,2.86,2,0,913
50,No,Yes,24,36.43,55,24.63,130,14.06,4,2.86,1,0,914
179,No,No,0,48.84,114,24.48,112,11.97,4,2.84,0,1,915
152,No,No,0,17.2,87,12.04,124,8.93,3,2.03,2,0,916
105,No,No,0,17.48,125,23.94,113,10.26,5,3.56,2,0,917
72,No,No,0,18.55,96,9.83,84,13.31,6,2.24,0,0,918
125,No,No,0,34.58,97,10.94,113,8.57,4,2.97,1,0,920
143,No,No,0,18.72,59,14.37,94,7.5,2,2.48,1,0,921
60,No,No,0,23.02,85,17.5,103,9.18,4,2.13,1,0,925
43,No,No,0,14.31,103,6.87,79,8.82,2,2.92,1,0,926
143,No,No,0,35.55,80,9.02,90,8.08,6,3.78,0,0,927
81,No,Yes,24,22.12,61,16.66,123,6.27,5,3.08,0,0,928
24,No,No,0,41.12,112,12.34,105,9.65,5,1.78,1,0,930
74,No,No,0,23.24,105,19.43,114,11.94,4,2.65,0,0,931
77,No,No,0,11.51,86,16.63,137,10.64,2,3.24,1,0,932
74,No,No,0,34.07,105,26.28,118,6.84,2,2.7,1,0,933
86,No,No,0,38.47,107,18.96,92,11.5,3,3.51,4,0,936
91,No,Yes,37,27.59,115,19.88,94,12.48,4,2.48,0,0,937
76,No,No,0,38.15,97,12.57,74,8.27,2,1.81,2,0,938
56,No,No,0,15.49,115,15.24,89,13.53,8,3.21,2,0,940
117,No,No,0,28.7,107,20.52,106,9.22,4,4.19,0,0,941
63,No,No,0,26.1,115,24.42,85,10.36,5,1.76,2,0,942
126,No,No,0,38.45,114,11.93,110,9.4,2,1.73,0,0,943
132,No,No,0,32.62,127,17.59,88,12.24,2,3.4,1,0,944
122,No,No,0,30.6,77,12.33,120,10.52,6,3.11,2,0,946
46,No,No,0,43.76,91,22.19,107,9.2,5,3.62,2,1,947
150,No,Yes,28,29.65,80,14.44,130,9.07,4,2.97,1,0,948
99,No,No,0,27.15,121,13.21,114,11.51,3,2.27,1,0,949
87,No,No,0,40.32,87,18.92,81,7.8,3,2.97,1,0,950
108,No,No,0,17.51,103,20.6,89,7.66,3,2.13,1,0,951
101,No,No,0,26.15,89,19.89,77,8.83,2,3.13,4,0,952
53,No,No,0,34.87,95,13.64,142,6.73,2,2.89,3,0,953
132,No,Yes,39,29.87,94,15.91,118,10.15,3,2.32,2,0,954
158,No,No,0,26.5,112,19.06,116,9.95,8,2.32,2,0,955
114,No,Yes,34,26.25,142,18.82,103,9.38,5,2.78,0,0,956
77,No,Yes,23,35.65,63,15.61,111,9.25,3,1.92,2,0,957
91,No,Yes,23,39.51,88,15.81,128,8.57,3,3.32,3,0,959
58,No,No,0,28.12,87,9.83,118,8.72,5,3.46,2,0,960
107,No,No,0,36.06,88,12.76,111,9.89,2,2.08,3,0,963
142,No,Yes,30,26.18,97,14.09,83,12.15,5,2.92,1,0,964
73,No,No,0,29.82,105,21.09,85,5.51,4,3.29,0,0,966
48,No,Yes,22,25.84,131,22,109,11.84,5,4.24,2,1,967
122,No,Yes,33,29.73,105,21.1,116,7.41,3,3.65,1,1,969
93,No,No,0,32.33,64,22.29,92,5.85,4,2.38,0,0,970
59,No,No,0,27.35,65,21.35,97,12.3,5,1.35,3,0,972
87,No,No,0,38.88,99,13.86,90,6.93,3,3.19,1,0,973
137,No,No,0,24.48,100,15.44,93,5.76,2,3.32,0,0,974
21,No,Yes,31,23.1,84,23.04,89,8.06,7,2.57,6,0,975
104,No,No,0,22.19,117,11.15,63,11.91,6,3.51,0,0,977
93,No,Yes,21,22.81,128,13.81,90,8.4,2,3.19,4,1,978
63,No,No,0,47.26,114,22.64,118,10.08,4,3.54,4,1,979
161,No,No,0,17.92,122,18.26,126,10.06,5,2.11,0,0,980
50,No,No,0,32.11,104,17.33,124,6.83,8,3.13,3,0,981
103,No,Yes,24,19.01,102,20.37,81,12.07,4,1.86,1,0,982
92,No,No,0,36.11,118,19.09,105,9.96,4,2.43,1,0,984
77,No,No,0,24.19,111,26.04,82,8.84,1,2.67,1,0,985
159,No,Yes,15,19.36,146,12.35,137,8.78,9,3.19,1,0,987
38,No,Yes,31,33.52,70,21.24,104,13.45,2,1.05,0,0,991
50,No,Yes,35,32.74,101,11.49,101,9.73,2,2.13,2,0,992
70,No,No,0,21.47,106,12.04,96,11.52,2,2.59,0,0,994
147,No,Yes,33,42.76,110,19.9,87,9.6,6,2.81,3,0,995
94,No,No,0,32.4,95,12.95,97,6.51,5,2.03,1,0,996
179,No,No,0,19.74,99,17.15,103,8.19,5,3.13,0,0,997
116,No,No,0,36.94,95,18.37,76,6.66,3,3.05,2,0,998
59,No,No,0,30.5,99,19.76,105,7.91,3,3.97,0,0,999
133,No,No,0,47.14,117,19.41,103,5.28,4,3.46,2,1,1001
140,No,No,0,21.3,121,14.25,94,11.73,4,2.27,1,0,1002
93,No,Yes,32,23.48,72,14.22,115,10.75,3,1.84,2,0,1003
52,No,Yes,38,28.78,97,19.2,86,7.74,3,2.21,0,0,1004
64,No,Yes,27,34.22,89,12.22,127,6.76,3,3.32,1,0,1005
48,No,No,0,32.37,85,26.99,113,6,4,2.24,2,0,1007
181,No,No,0,24.36,58,16.62,95,10.05,7,1.62,1,0,1008
168,No,Yes,42,16.56,98,17.31,124,7.83,2,3.08,2,0,1009
155,No,No,0,30.84,92,14.25,122,7.58,3,3.05,3,0,1010
182,No,No,0,17.83,120,16.87,91,11.62,5,2.16,2,0,1013
